avg_reaction_ms,reaction_std,click_accuracy,actions_per_min,mouse_speed_avg,mouse_speed_std,snap_events,win_rate,kill_death_ratio,headshot_ratio,session_hours,movement_entropy,label
31.98555464704279,12.590987743847267,0.7303333333333333,564.2582531376181,1125.0583496597044,217.2192688004901,40.090916920357635,0.8966,5.6875,0.16666666666666666,2.4276589121299708,0.6221200763596917,0
85.01907876805669,85.96203178627938,0.6591111111111112,235.06463116234818,568.561737847365,281.71469689423833,30.31667396847859,0.9231,11.275,0.0,4.5067767387844375,0.392173289480346,0
326.2959934587081,85.76366737197283,0.0,129.24571412158593,138.73969527843963,344.4643493399994,0.0,0.2449,0.1,0.0,1.9319751918679782,-0.0,0
154.81239211410917,91.56933063898315,0.6666666666666666,193.1255241003772,178.52015130264894,365.06976076695946,14.013787318811968,0.28,3.825,0.0,10.578902311993842,-0.0,0
353.70945761787954,97.91570032172,0.43173333333333336,123.29533418403526,112.67026412139086,359.8259868087273,0.0,0.0957,0.1,0.0,3.405257360424454,-0.0,0
344.9986372308531,81.98578556060316,0.968,150.11584108531056,123.20151190062565,331.3853873313665,0.0,0.1481,0.1,0.0,2.9371116246214624,-0.0,0
461.8261106568547,81.32146748503366,0.6539999999999999,68.84963927310056,238.54740498024356,357.2614841845641,0.0,0.3333,0.1,0.0,9.215772081273364,-0.0,0
89.00299809212319,84.85811565576567,0.9344444444444444,227.71967196231114,499.60597599517445,374.6843146844619,80.0,0.766,11.275,0.6666666666666666,10.757899210977339,-0.0,1
358.5772690106296,84.48961056880776,0.5236000000000001,218.77215108166013,665.5933307577129,359.6794386486113,0.0,0.8542,0.1,0.0,3.6668682127849492,-0.0,0
310.4115562823658,89.85228326310558,0.0,133.1575248505177,129.08896793983982,327.673991192952,0.0,0.2245,0.1,0.0,1.078297673638993,-0.0,0
268.2665576451349,96.25463163505461,0.58,225.43202982665335,1341.5666192282504,137.88773768692147,25.735879106957125,0.9688,3.825,0.0,12.0,0.6160488388029494,0
82.80294358135731,7.936789744121055,0.9536666666666668,390.9549005840596,1095.0262026386913,208.27104163945117,80.0,0.963,5.066666666666666,0.25,9.091851151207864,0.6213616352252448,1
358.06486781139273,96.41844566327008,0.25153333333333333,243.14997912575168,802.9455989041327,265.88811988876074,0.0,0.7347,0.1,0.0,3.639330228325951,0.6046290796230132,0
77.26901062959935,85.83488937195963,1.0,527.9554848344785,1178.7455633106727,193.18576297894984,0.0,0.8846,0.1,0.0,2.8407286790149624,0.6302340676216444,0
236.11338239302265,87.40221634442165,0.6666666666666666,320.3049979613101,1278.8592666150976,310.09577389707727,15.850349051575643,0.9348,3.825,1.0,10.386136420780842,0.40526522209036747,0
485.1403652221313,71.63048767180867,0.0,50.0,108.6538300307727,370.2563990218717,0.0,0.0217,0.1,0.0,10.468750374157842,-0.0,0
111.25829017897702,89.67081997872661,0.5236666666666666,195.46775934853792,147.8280104105645,335.64395888691985,13.619364654986141,0.1923,7.55,0.0,3.5567162749489527,-0.0,0
80.65085854456254,15.296688744848874,1.0,263.2339204407485,1085.1696717609318,385.153237671465,44.74660216108654,0.8,5.6875,0.0,8.513553477568873,-0.0,0
345.2548378304715,78.76146620242099,1.0,200.06587817852048,973.4553932250844,363.0601289427353,0.0,0.8077,0.1,0.0,2.9508806168509616,-0.0,0
